Review,Liked,Bert_Loss,Bert_Logits,Bert_Labels,RoBerta_Loss,RoBerta_Logits,RoBert_Labels,Albert_Loss,Albert_Logits,Albert_Labels
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,"tensor(1.0147, grad_fn=<NllLossBackward>)","tensor([[0.2185, 0.7829]], grad_fn=<AddmmBackward>)",1,"tensor(0.6450, grad_fn=<NllLossBackward>)","tensor([[ 0.0092, -0.0895]], grad_fn=<AddmmBackward>)",0,"tensor(0.9122, grad_fn=<NllLossBackward>)","tensor([[-0.0702,  0.3284]], grad_fn=<AddmmBackward>)",1
"Phenomenal food, service and ambiance.",1,"tensor(0.4861, grad_fn=<NllLossBackward>)","tensor([[0.2782, 0.7467]], grad_fn=<AddmmBackward>)",1,"tensor(0.7400, grad_fn=<NllLossBackward>)","tensor([[-0.0104, -0.1019]], grad_fn=<AddmmBackward>)",0,"tensor(0.4748, grad_fn=<NllLossBackward>)","tensor([[-0.3449,  0.1532]], grad_fn=<AddmmBackward>)",1
I wouldn't return.,0,"tensor(1.1045, grad_fn=<NllLossBackward>)","tensor([[0.2178, 0.9197]], grad_fn=<AddmmBackward>)",1,"tensor(0.6394, grad_fn=<NllLossBackward>)","tensor([[-0.0129, -0.1236]], grad_fn=<AddmmBackward>)",0,"tensor(0.9185, grad_fn=<NllLossBackward>)","tensor([[-0.1100,  0.2992]], grad_fn=<AddmmBackward>)",1
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1,"tensor(0.5263, grad_fn=<NllLossBackward>)","tensor([[0.3650, 0.7323]], grad_fn=<AddmmBackward>)",1,"tensor(0.7462, grad_fn=<NllLossBackward>)","tensor([[-0.0175, -0.1209]], grad_fn=<AddmmBackward>)",0,"tensor(0.4691, grad_fn=<NllLossBackward>)","tensor([[-0.0940,  0.4193]], grad_fn=<AddmmBackward>)",1
This place is way too overpriced for mediocre food.,0,"tensor(0.9737, grad_fn=<NllLossBackward>)","tensor([[0.2808, 0.7801]], grad_fn=<AddmmBackward>)",1,"tensor(0.6357, grad_fn=<NllLossBackward>)","tensor([[-0.0151, -0.1335]], grad_fn=<AddmmBackward>)",0,"tensor(0.8826, grad_fn=<NllLossBackward>)","tensor([[-0.0934,  0.2552]], grad_fn=<AddmmBackward>)",1
Penne vodka excellent!,1,"tensor(0.5189, grad_fn=<NllLossBackward>)","tensor([[0.3359, 0.7212]], grad_fn=<AddmmBackward>)",1,"tensor(0.7333, grad_fn=<NllLossBackward>)","tensor([[-0.0013, -0.0801]], grad_fn=<AddmmBackward>)",0,"tensor(0.4614, grad_fn=<NllLossBackward>)","tensor([[-0.4225,  0.1115]], grad_fn=<AddmmBackward>)",1
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,"tensor(0.4699, grad_fn=<NllLossBackward>)","tensor([[0.2382, 0.7494]], grad_fn=<AddmmBackward>)",1,"tensor(0.7537, grad_fn=<NllLossBackward>)","tensor([[ 0.0027, -0.1149]], grad_fn=<AddmmBackward>)",0,"tensor(0.4599, grad_fn=<NllLossBackward>)","tensor([[-0.0445,  0.4936]], grad_fn=<AddmmBackward>)",1
The management is rude.,0,"tensor(0.9477, grad_fn=<NllLossBackward>)","tensor([[0.2653, 0.7226]], grad_fn=<AddmmBackward>)",1,"tensor(0.6422, grad_fn=<NllLossBackward>)","tensor([[-0.0081, -0.1128]], grad_fn=<AddmmBackward>)",0,"tensor(0.9605, grad_fn=<NllLossBackward>)","tensor([[-0.1594,  0.3186]], grad_fn=<AddmmBackward>)",1
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1,"tensor(0.4811, grad_fn=<NllLossBackward>)","tensor([[0.2579, 0.7393]], grad_fn=<AddmmBackward>)",1,"tensor(0.7474, grad_fn=<NllLossBackward>)","tensor([[-0.0070, -0.1128]], grad_fn=<AddmmBackward>)",0,"tensor(0.4150, grad_fn=<NllLossBackward>)","tensor([[-0.1214,  0.5434]], grad_fn=<AddmmBackward>)",1
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1,"tensor(0.4634, grad_fn=<NllLossBackward>)","tensor([[0.0891, 0.6175]], grad_fn=<AddmmBackward>)",1,"tensor(0.7522, grad_fn=<NllLossBackward>)","tensor([[ 0.0069, -0.1079]], grad_fn=<AddmmBackward>)",0,"tensor(0.4444, grad_fn=<NllLossBackward>)","tensor([[-0.0849,  0.4956]], grad_fn=<AddmmBackward>)",1
I had a seriously solid breakfast here.,1,"tensor(0.5190, grad_fn=<NllLossBackward>)","tensor([[0.3043, 0.6894]], grad_fn=<AddmmBackward>)",1,"tensor(0.7535, grad_fn=<NllLossBackward>)","tensor([[-0.0120, -0.1293]], grad_fn=<AddmmBackward>)",0,"tensor(0.5145, grad_fn=<NllLossBackward>)","tensor([[-0.0610,  0.3353]], grad_fn=<AddmmBackward>)",1
This is one of the best bars with food in Vegas.,1,"tensor(0.4874, grad_fn=<NllLossBackward>)","tensor([[0.2748, 0.7398]], grad_fn=<AddmmBackward>)",1,"tensor(0.7477, grad_fn=<NllLossBackward>)","tensor([[-0.0141, -0.1203]], grad_fn=<AddmmBackward>)",0,"tensor(0.4731, grad_fn=<NllLossBackward>)","tensor([[-0.1887,  0.3138]], grad_fn=<AddmmBackward>)",1
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,"tensor(1.0462, grad_fn=<NllLossBackward>)","tensor([[0.1424, 0.7559]], grad_fn=<AddmmBackward>)",1,"tensor(0.6427, grad_fn=<NllLossBackward>)","tensor([[-0.0104, -0.1139]], grad_fn=<AddmmBackward>)",0,"tensor(0.9872, grad_fn=<NllLossBackward>)","tensor([[-0.0472,  0.4738]], grad_fn=<AddmmBackward>)",1
My drink was never empty and he made some really great menu suggestions.,1,"tensor(0.4084, grad_fn=<NllLossBackward>)","tensor([[0.1036, 0.7879]], grad_fn=<AddmmBackward>)",1,"tensor(0.7505, grad_fn=<NllLossBackward>)","tensor([[-0.0074, -0.1190]], grad_fn=<AddmmBackward>)",0,"tensor(0.4749, grad_fn=<NllLossBackward>)","tensor([[-0.0675,  0.4305]], grad_fn=<AddmmBackward>)",1
Don't do it!!!!,0,"tensor(0.9690, grad_fn=<NllLossBackward>)","tensor([[0.2547, 0.7465]], grad_fn=<AddmmBackward>)",1,"tensor(0.6524, grad_fn=<NllLossBackward>)","tensor([[-0.0030, -0.0863]], grad_fn=<AddmmBackward>)",0,"tensor(0.8930, grad_fn=<NllLossBackward>)","tensor([[-0.0867,  0.2796]], grad_fn=<AddmmBackward>)",1
The waiter wasn't helpful or friendly and rarely checked on us.,0,"tensor(1.0410, grad_fn=<NllLossBackward>)","tensor([[0.2053, 0.8107]], grad_fn=<AddmmBackward>)",1,"tensor(0.6392, grad_fn=<NllLossBackward>)","tensor([[-0.0082, -0.1191]], grad_fn=<AddmmBackward>)",0,"tensor(0.9367, grad_fn=<NllLossBackward>)","tensor([[-0.0052,  0.4340]], grad_fn=<AddmmBackward>)",1
My husband and I ate lunch here and were very disappointed with the food and service.,0,"tensor(0.8769, grad_fn=<NllLossBackward>)","tensor([[0.2207, 0.5596]], grad_fn=<AddmmBackward>)",1,"tensor(0.6431, grad_fn=<NllLossBackward>)","tensor([[-0.0064, -0.1092]], grad_fn=<AddmmBackward>)",0,"tensor(0.8630, grad_fn=<NllLossBackward>)","tensor([[0.0293, 0.3443]], grad_fn=<AddmmBackward>)",1
And the red curry had so much bamboo shoots and wasn't very tasty to me.,0,"tensor(1.0231, grad_fn=<NllLossBackward>)","tensor([[0.1467, 0.7243]], grad_fn=<AddmmBackward>)",1,"tensor(0.6336, grad_fn=<NllLossBackward>)","tensor([[ 0.0013, -0.1216]], grad_fn=<AddmmBackward>)",0,"tensor(0.9699, grad_fn=<NllLossBackward>)","tensor([[-0.0891,  0.4042]], grad_fn=<AddmmBackward>)",1
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1,"tensor(0.4795, grad_fn=<NllLossBackward>)","tensor([[0.2546, 0.7404]], grad_fn=<AddmmBackward>)",1,"tensor(0.7492, grad_fn=<NllLossBackward>)","tensor([[-0.0065, -0.1155]], grad_fn=<AddmmBackward>)",0,"tensor(0.4837, grad_fn=<NllLossBackward>)","tensor([[-0.1096,  0.3652]], grad_fn=<AddmmBackward>)",1
The bathrooms are clean and the place itself is well decorated.,1,"tensor(0.4303, grad_fn=<NllLossBackward>)","tensor([[0.1878, 0.8082]], grad_fn=<AddmmBackward>)",1,"tensor(0.7516, grad_fn=<NllLossBackward>)","tensor([[-0.0110, -0.1247]], grad_fn=<AddmmBackward>)",0,"tensor(0.5268, grad_fn=<NllLossBackward>)","tensor([[-0.0781,  0.2880]], grad_fn=<AddmmBackward>)",1
"The menu is always changing, food quality is going down & service is extremely slow.",0,"tensor(1.0188, grad_fn=<NllLossBackward>)","tensor([[0.1855, 0.7563]], grad_fn=<AddmmBackward>)",1,"tensor(0.6436, grad_fn=<NllLossBackward>)","tensor([[-0.0114, -0.1131]], grad_fn=<AddmmBackward>)",0,"tensor(0.9276, grad_fn=<NllLossBackward>)","tensor([[-0.0349,  0.3893]], grad_fn=<AddmmBackward>)",1
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,"tensor(1.0421, grad_fn=<NllLossBackward>)","tensor([[0.1435, 0.7507]], grad_fn=<AddmmBackward>)",1,"tensor(0.6448, grad_fn=<NllLossBackward>)","tensor([[ 0.0039, -0.0952]], grad_fn=<AddmmBackward>)",0,"tensor(0.9021, grad_fn=<NllLossBackward>)","tensor([[0.0030, 0.3847]], grad_fn=<AddmmBackward>)",1
I give it 2 thumbs down,0,"tensor(0.7275, grad_fn=<NllLossBackward>)","tensor([[0.4789, 0.5465]], grad_fn=<AddmmBackward>)",1,"tensor(0.6546, grad_fn=<NllLossBackward>)","tensor([[-0.0065, -0.0851]], grad_fn=<AddmmBackward>)",0,"tensor(0.9237, grad_fn=<NllLossBackward>)","tensor([[-0.0939,  0.3238]], grad_fn=<AddmmBackward>)",1
We watched our waiter pay a lot more attention to other tables and ignore us.,0,"tensor(1.0085, grad_fn=<NllLossBackward>)","tensor([[0.2351, 0.7899]], grad_fn=<AddmmBackward>)",1,"tensor(0.6409, grad_fn=<NllLossBackward>)","tensor([[-0.0035, -0.1110]], grad_fn=<AddmmBackward>)",0,"tensor(0.9456, grad_fn=<NllLossBackward>)","tensor([[-0.0331,  0.4207]], grad_fn=<AddmmBackward>)",1
My fiancé and I came in the middle of the day and we were greeted and seated right away.,1,"tensor(0.4533, grad_fn=<NllLossBackward>)","tensor([[0.2083, 0.7642]], grad_fn=<AddmmBackward>)",1,"tensor(0.7502, grad_fn=<NllLossBackward>)","tensor([[-0.0111, -0.1221]], grad_fn=<AddmmBackward>)",0,"tensor(0.4735, grad_fn=<NllLossBackward>)","tensor([[0.0159, 0.5175]], grad_fn=<AddmmBackward>)",1
This is a great restaurant at the Mandalay Bay.,1,"tensor(0.4499, grad_fn=<NllLossBackward>)","tensor([[0.2013, 0.7667]], grad_fn=<AddmmBackward>)",1,"tensor(0.7501, grad_fn=<NllLossBackward>)","tensor([[-0.0064, -0.1174]], grad_fn=<AddmmBackward>)",0,"tensor(0.4913, grad_fn=<NllLossBackward>)","tensor([[-0.1334,  0.3217]], grad_fn=<AddmmBackward>)",1
We waited for forty five minutes in vain.,0,"tensor(1.0499, grad_fn=<NllLossBackward>)","tensor([[0.2664, 0.8855]], grad_fn=<AddmmBackward>)",1,"tensor(0.6318, grad_fn=<NllLossBackward>)","tensor([[-0.0051, -0.1318]], grad_fn=<AddmmBackward>)",0,"tensor(0.9191, grad_fn=<NllLossBackward>)","tensor([[-0.1149,  0.2952]], grad_fn=<AddmmBackward>)",1
Crostini that came with the salad was stale.,0,"tensor(0.9786, grad_fn=<NllLossBackward>)","tensor([[0.2635, 0.7708]], grad_fn=<AddmmBackward>)",1,"tensor(0.6438, grad_fn=<NllLossBackward>)","tensor([[-0.0168, -0.1180]], grad_fn=<AddmmBackward>)",0,"tensor(0.9666, grad_fn=<NllLossBackward>)","tensor([[-0.0974,  0.3905]], grad_fn=<AddmmBackward>)",1
Some highlights : Great quality nigiri here!,1,"tensor(0.4894, grad_fn=<NllLossBackward>)","tensor([[0.3184, 0.7784]], grad_fn=<AddmmBackward>)",1,"tensor(0.7443, grad_fn=<NllLossBackward>)","tensor([[ 0.0043, -0.0954]], grad_fn=<AddmmBackward>)",0,"tensor(0.6063, grad_fn=<NllLossBackward>)","tensor([[-0.1706,  0.0115]], grad_fn=<AddmmBackward>)",1
the staff is friendly and the joint is always clean.,1,"tensor(0.4244, grad_fn=<NllLossBackward>)","tensor([[0.2105, 0.8478]], grad_fn=<AddmmBackward>)",1,"tensor(0.7545, grad_fn=<NllLossBackward>)","tensor([[-0.0048, -0.1240]], grad_fn=<AddmmBackward>)",0,"tensor(0.5519, grad_fn=<NllLossBackward>)","tensor([[-0.0696,  0.2362]], grad_fn=<AddmmBackward>)",1
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1,"tensor(0.4649, grad_fn=<NllLossBackward>)","tensor([[0.1522, 0.6767]], grad_fn=<AddmmBackward>)",1,"tensor(0.7414, grad_fn=<NllLossBackward>)","tensor([[-0.0035, -0.0978]], grad_fn=<AddmmBackward>)",0,"tensor(0.4987, grad_fn=<NllLossBackward>)","tensor([[-0.1176,  0.3184]], grad_fn=<AddmmBackward>)",1
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1,"tensor(0.4434, grad_fn=<NllLossBackward>)","tensor([[0.2428, 0.8261]], grad_fn=<AddmmBackward>)",1,"tensor(0.7516, grad_fn=<NllLossBackward>)","tensor([[-0.0092, -0.1229]], grad_fn=<AddmmBackward>)",0,"tensor(0.4460, grad_fn=<NllLossBackward>)","tensor([[-0.0799,  0.4963]], grad_fn=<AddmmBackward>)",1
this place is good.,1,"tensor(0.4818, grad_fn=<NllLossBackward>)","tensor([[0.2637, 0.7433]], grad_fn=<AddmmBackward>)",1,"tensor(0.7493, grad_fn=<NllLossBackward>)","tensor([[-0.0145, -0.1239]], grad_fn=<AddmmBackward>)",0,"tensor(0.4851, grad_fn=<NllLossBackward>)","tensor([[-0.1646,  0.3064]], grad_fn=<AddmmBackward>)",1
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0,"tensor(0.9284, grad_fn=<NllLossBackward>)","tensor([[0.3035, 0.7291]], grad_fn=<AddmmBackward>)",1,"tensor(0.6263, grad_fn=<NllLossBackward>)","tensor([[-0.0011, -0.1397]], grad_fn=<AddmmBackward>)",0,"tensor(0.9964, grad_fn=<NllLossBackward>)","tensor([[-0.0802,  0.4554]], grad_fn=<AddmmBackward>)",1
I came back today since they relocated and still not impressed.,0,"tensor(0.9990, grad_fn=<NllLossBackward>)","tensor([[0.2146, 0.7543]], grad_fn=<AddmmBackward>)",1,"tensor(0.6436, grad_fn=<NllLossBackward>)","tensor([[-0.0105, -0.1123]], grad_fn=<AddmmBackward>)",0,"tensor(0.8967, grad_fn=<NllLossBackward>)","tensor([[-0.0559,  0.3167]], grad_fn=<AddmmBackward>)",1
I was seated immediately.,1,"tensor(0.4533, grad_fn=<NllLossBackward>)","tensor([[0.2412, 0.7971]], grad_fn=<AddmmBackward>)",1,"tensor(0.7468, grad_fn=<NllLossBackward>)","tensor([[-0.0168, -0.1213]], grad_fn=<AddmmBackward>)",0,"tensor(0.4613, grad_fn=<NllLossBackward>)","tensor([[-0.0973,  0.4370]], grad_fn=<AddmmBackward>)",1
"Their menu is diverse, and reasonably priced.",1,"tensor(0.4471, grad_fn=<NllLossBackward>)","tensor([[0.1987, 0.7719]], grad_fn=<AddmmBackward>)",1,"tensor(0.7487, grad_fn=<NllLossBackward>)","tensor([[-0.0110, -0.1192]], grad_fn=<AddmmBackward>)",0,"tensor(0.4844, grad_fn=<NllLossBackward>)","tensor([[-0.1856,  0.2872]], grad_fn=<AddmmBackward>)",1
Avoid at all cost!,0,"tensor(0.9169, grad_fn=<NllLossBackward>)","tensor([[0.3694, 0.7759]], grad_fn=<AddmmBackward>)",1,"tensor(0.6497, grad_fn=<NllLossBackward>)","tensor([[ 0.0002, -0.0885]], grad_fn=<AddmmBackward>)",0,"tensor(0.8713, grad_fn=<NllLossBackward>)","tensor([[-0.1692,  0.1602]], grad_fn=<AddmmBackward>)",1
Restaurant is always full but never a wait.,1,"tensor(0.4325, grad_fn=<NllLossBackward>)","tensor([[0.1829, 0.7969]], grad_fn=<AddmmBackward>)",1,"tensor(0.7502, grad_fn=<NllLossBackward>)","tensor([[-0.0043, -0.1153]], grad_fn=<AddmmBackward>)",0,"tensor(0.5333, grad_fn=<NllLossBackward>)","tensor([[-0.1495,  0.2007]], grad_fn=<AddmmBackward>)",1
DELICIOUS!!,1,"tensor(0.5427, grad_fn=<NllLossBackward>)","tensor([[0.3445, 0.6722]], grad_fn=<AddmmBackward>)",1,"tensor(0.7388, grad_fn=<NllLossBackward>)","tensor([[ 0.0018, -0.0875]], grad_fn=<AddmmBackward>)",0,"tensor(0.5010, grad_fn=<NllLossBackward>)","tensor([[-0.2012,  0.2290]], grad_fn=<AddmmBackward>)",1
This place is hands-down one of the best places to eat in the Phoenix metro area.,1,"tensor(0.4688, grad_fn=<NllLossBackward>)","tensor([[0.2148, 0.7289]], grad_fn=<AddmmBackward>)",1,"tensor(0.7462, grad_fn=<NllLossBackward>)","tensor([[-0.0239, -0.1274]], grad_fn=<AddmmBackward>)",0,"tensor(0.4597, grad_fn=<NllLossBackward>)","tensor([[-0.1862,  0.3522]], grad_fn=<AddmmBackward>)",1
So don't go there if you are looking for good food...,0,"tensor(1.0651, grad_fn=<NllLossBackward>)","tensor([[0.1706, 0.8131]], grad_fn=<AddmmBackward>)",1,"tensor(0.6435, grad_fn=<NllLossBackward>)","tensor([[ 0.0114, -0.0904]], grad_fn=<AddmmBackward>)",0,"tensor(1.0929, grad_fn=<NllLossBackward>)","tensor([[-0.2445,  0.4401]], grad_fn=<AddmmBackward>)",1
I've never been treated so bad.,0,"tensor(1.0583, grad_fn=<NllLossBackward>)","tensor([[0.2293, 0.8613]], grad_fn=<AddmmBackward>)",1,"tensor(0.6435, grad_fn=<NllLossBackward>)","tensor([[-0.0259, -0.1278]], grad_fn=<AddmmBackward>)",0,"tensor(0.9308, grad_fn=<NllLossBackward>)","tensor([[-0.1192,  0.3103]], grad_fn=<AddmmBackward>)",1
Bacon is hella salty.,1,"tensor(0.4559, grad_fn=<NllLossBackward>)","tensor([[0.2357, 0.7847]], grad_fn=<AddmmBackward>)",1,"tensor(0.7519, grad_fn=<NllLossBackward>)","tensor([[-0.0138, -0.1281]], grad_fn=<AddmmBackward>)",0,"tensor(0.4904, grad_fn=<NllLossBackward>)","tensor([[-0.2183,  0.2389]], grad_fn=<AddmmBackward>)",1
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",0,"tensor(1.0147, grad_fn=<NllLossBackward>)","tensor([[0.1796, 0.7440]], grad_fn=<AddmmBackward>)",1,"tensor(0.6357, grad_fn=<NllLossBackward>)","tensor([[-0.0061, -0.1244]], grad_fn=<AddmmBackward>)",0,"tensor(1.0032, grad_fn=<NllLossBackward>)","tensor([[-0.0551,  0.4913]], grad_fn=<AddmmBackward>)",1
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1,"tensor(0.4868, grad_fn=<NllLossBackward>)","tensor([[0.2662, 0.7328]], grad_fn=<AddmmBackward>)",1,"tensor(0.7462, grad_fn=<NllLossBackward>)","tensor([[-0.0125, -0.1159]], grad_fn=<AddmmBackward>)",0,"tensor(0.4144, grad_fn=<NllLossBackward>)","tensor([[-0.1563,  0.5102]], grad_fn=<AddmmBackward>)",1
The waitresses are very friendly.,1,"tensor(0.4628, grad_fn=<NllLossBackward>)","tensor([[0.1893, 0.7196]], grad_fn=<AddmmBackward>)",1,"tensor(0.7570, grad_fn=<NllLossBackward>)","tensor([[-0.0023, -0.1262]], grad_fn=<AddmmBackward>)",0,"tensor(0.5162, grad_fn=<NllLossBackward>)","tensor([[-0.0472,  0.3449]], grad_fn=<AddmmBackward>)",1
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1,"tensor(0.4474, grad_fn=<NllLossBackward>)","tensor([[0.2677, 0.8398]], grad_fn=<AddmmBackward>)",1,"tensor(0.7440, grad_fn=<NllLossBackward>)","tensor([[ 0.0049, -0.0944]], grad_fn=<AddmmBackward>)",0,"tensor(0.5512, grad_fn=<NllLossBackward>)","tensor([[-0.0689,  0.2384]], grad_fn=<AddmmBackward>)",1
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1,"tensor(0.4270, grad_fn=<NllLossBackward>)","tensor([[0.1784, 0.8083]], grad_fn=<AddmmBackward>)",1,"tensor(0.7543, grad_fn=<NllLossBackward>)","tensor([[-0.0075, -0.1263]], grad_fn=<AddmmBackward>)",0,"tensor(0.4636, grad_fn=<NllLossBackward>)","tensor([[-0.0197,  0.5082]], grad_fn=<AddmmBackward>)",1
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,"tensor(1.0079, grad_fn=<NllLossBackward>)","tensor([[0.2201, 0.7739]], grad_fn=<AddmmBackward>)",1,"tensor(0.6403, grad_fn=<NllLossBackward>)","tensor([[-0.0049, -0.1135]], grad_fn=<AddmmBackward>)",0,"tensor(1.0050, grad_fn=<NllLossBackward>)","tensor([[-0.1160,  0.4333]], grad_fn=<AddmmBackward>)",1
The service here leaves a lot to be desired.,0,"tensor(0.9672, grad_fn=<NllLossBackward>)","tensor([[0.3018, 0.7907]], grad_fn=<AddmmBackward>)",1,"tensor(0.6479, grad_fn=<NllLossBackward>)","tensor([[-0.0180, -0.1107]], grad_fn=<AddmmBackward>)",0,"tensor(0.9244, grad_fn=<NllLossBackward>)","tensor([[-0.2234,  0.1955]], grad_fn=<AddmmBackward>)",1
"The atmosphere is modern and hip, while maintaining a touch of coziness.",1,"tensor(0.4624, grad_fn=<NllLossBackward>)","tensor([[0.2039, 0.7352]], grad_fn=<AddmmBackward>)",1,"tensor(0.7446, grad_fn=<NllLossBackward>)","tensor([[-0.0119, -0.1122]], grad_fn=<AddmmBackward>)",0,"tensor(0.4556, grad_fn=<NllLossBackward>)","tensor([[-0.1612,  0.3886]], grad_fn=<AddmmBackward>)",1
"Not a weekly haunt, but definitely a place to come back to every once in a while.",1,"tensor(0.4831, grad_fn=<NllLossBackward>)","tensor([[0.2989, 0.7751]], grad_fn=<AddmmBackward>)",1,"tensor(0.7490, grad_fn=<NllLossBackward>)","tensor([[-0.0123, -0.1210]], grad_fn=<AddmmBackward>)",0,"tensor(0.4591, grad_fn=<NllLossBackward>)","tensor([[-0.1368,  0.4034]], grad_fn=<AddmmBackward>)",1
We literally sat there for 20 minutes with no one asking to take our order.,0,"tensor(1.0485, grad_fn=<NllLossBackward>)","tensor([[0.1451, 0.7621]], grad_fn=<AddmmBackward>)",1,"tensor(0.6347, grad_fn=<NllLossBackward>)","tensor([[ 0.0005, -0.1200]], grad_fn=<AddmmBackward>)",0,"tensor(0.9123, grad_fn=<NllLossBackward>)","tensor([[-0.0465,  0.3524]], grad_fn=<AddmmBackward>)",1
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0,"tensor(1.0314, grad_fn=<NllLossBackward>)","tensor([[0.2117, 0.8023]], grad_fn=<AddmmBackward>)",1,"tensor(0.6374, grad_fn=<NllLossBackward>)","tensor([[-0.0049, -0.1197]], grad_fn=<AddmmBackward>)",0,"tensor(0.9043, grad_fn=<NllLossBackward>)","tensor([[-0.0567,  0.3287]], grad_fn=<AddmmBackward>)",1
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0,"tensor(0.9987, grad_fn=<NllLossBackward>)","tensor([[0.1928, 0.7321]], grad_fn=<AddmmBackward>)",1,"tensor(0.6373, grad_fn=<NllLossBackward>)","tensor([[-0.0110, -0.1259]], grad_fn=<AddmmBackward>)",0,"tensor(1.0696, grad_fn=<NllLossBackward>)","tensor([[-0.1209,  0.5284]], grad_fn=<AddmmBackward>)",1
I dressed up to be treated so rudely!,0,"tensor(0.9180, grad_fn=<NllLossBackward>)","tensor([[0.3268, 0.7351]], grad_fn=<AddmmBackward>)",1,"tensor(0.6528, grad_fn=<NllLossBackward>)","tensor([[-0.0018, -0.0843]], grad_fn=<AddmmBackward>)",0,"tensor(0.9459, grad_fn=<NllLossBackward>)","tensor([[-0.0766,  0.3777]], grad_fn=<AddmmBackward>)",1
It was probably dirt.,0,"tensor(0.8848, grad_fn=<NllLossBackward>)","tensor([[0.3286, 0.6809]], grad_fn=<AddmmBackward>)",1,"tensor(0.6348, grad_fn=<NllLossBackward>)","tensor([[-0.0084, -0.1287]], grad_fn=<AddmmBackward>)",0,"tensor(0.9303, grad_fn=<NllLossBackward>)","tensor([[-0.1685,  0.2602]], grad_fn=<AddmmBackward>)",1
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1,"tensor(0.4072, grad_fn=<NllLossBackward>)","tensor([[0.1805, 0.8686]], grad_fn=<AddmmBackward>)",1,"tensor(0.7619, grad_fn=<NllLossBackward>)","tensor([[-0.0022, -0.1353]], grad_fn=<AddmmBackward>)",0,"tensor(0.5131, grad_fn=<NllLossBackward>)","tensor([[-0.1518,  0.2480]], grad_fn=<AddmmBackward>)",1
I ordered the Lemon raspberry ice cocktail which was also incredible.,1,"tensor(0.4632, grad_fn=<NllLossBackward>)","tensor([[0.2590, 0.7882]], grad_fn=<AddmmBackward>)",1,"tensor(0.7530, grad_fn=<NllLossBackward>)","tensor([[-0.0031, -0.1194]], grad_fn=<AddmmBackward>)",0,"tensor(0.4777, grad_fn=<NllLossBackward>)","tensor([[-0.1061,  0.3843]], grad_fn=<AddmmBackward>)",1
"The food sucked, which we expected but it sucked more than we could have imagined.",0,"tensor(1.0768, grad_fn=<NllLossBackward>)","tensor([[0.1538, 0.8141]], grad_fn=<AddmmBackward>)",1,"tensor(0.6381, grad_fn=<NllLossBackward>)","tensor([[-0.0045, -0.1179]], grad_fn=<AddmmBackward>)",0,"tensor(0.9157, grad_fn=<NllLossBackward>)","tensor([[-0.0744,  0.3302]], grad_fn=<AddmmBackward>)",1
Interesting decor.,1,"tensor(0.4445, grad_fn=<NllLossBackward>)","tensor([[0.2154, 0.7958]], grad_fn=<AddmmBackward>)",1,"tensor(0.7471, grad_fn=<NllLossBackward>)","tensor([[-0.0082, -0.1134]], grad_fn=<AddmmBackward>)",0,"tensor(0.5317, grad_fn=<NllLossBackward>)","tensor([[-0.2616,  0.0924]], grad_fn=<AddmmBackward>)",1
What I really like there is the crepe station.,1,"tensor(0.5333, grad_fn=<NllLossBackward>)","tensor([[0.2972, 0.6473]], grad_fn=<AddmmBackward>)",1,"tensor(0.7570, grad_fn=<NllLossBackward>)","tensor([[-0.0111, -0.1350]], grad_fn=<AddmmBackward>)",0,"tensor(0.5024, grad_fn=<NllLossBackward>)","tensor([[-0.1465,  0.2801]], grad_fn=<AddmmBackward>)",1
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1,"tensor(0.4241, grad_fn=<NllLossBackward>)","tensor([[0.2088, 0.8471]], grad_fn=<AddmmBackward>)",1,"tensor(0.7492, grad_fn=<NllLossBackward>)","tensor([[ 0.0025, -0.1066]], grad_fn=<AddmmBackward>)",0,"tensor(0.4857, grad_fn=<NllLossBackward>)","tensor([[-0.0750,  0.3946]], grad_fn=<AddmmBackward>)",1
