Review,Liked,Bert_Loss,Bert_Logits,RoBerta_Loss,RoBerta_Logits
We'll never go again.,0,"tensor(0.6012, grad_fn=<NllLossBackward>)","tensor([[-0.0789,  0.1144]], grad_fn=<AddmmBackward>)","tensor(0.7214, grad_fn=<NllLossBackward>)","tensor([[0.0875, 0.0318]], grad_fn=<AddmmBackward>)"
Will be back again!,1,"tensor(0.6339, grad_fn=<NllLossBackward>)","tensor([[-0.0331,  0.0891]], grad_fn=<AddmmBackward>)","tensor(0.7024, grad_fn=<NllLossBackward>)","tensor([[0.0673, 0.0488]], grad_fn=<AddmmBackward>)"
Food arrived quickly!,1,"tensor(0.5541, grad_fn=<NllLossBackward>)","tensor([[-0.0699,  0.2307]], grad_fn=<AddmmBackward>)","tensor(0.7033, grad_fn=<NllLossBackward>)","tensor([[0.0715, 0.0513]], grad_fn=<AddmmBackward>)"
It was not good.,0,"tensor(0.7108, grad_fn=<NllLossBackward>)","tensor([[0.0499, 0.0149]], grad_fn=<AddmmBackward>)","tensor(0.7178, grad_fn=<NllLossBackward>)","tensor([[0.0784, 0.0298]], grad_fn=<AddmmBackward>)"
"On the up side, their cafe serves really good food.",1,"tensor(0.6778, grad_fn=<NllLossBackward>)","tensor([[0.0796, 0.1105]], grad_fn=<AddmmBackward>)","tensor(0.7319, grad_fn=<NllLossBackward>)","tensor([[0.0925, 0.0164]], grad_fn=<AddmmBackward>)"
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1,"tensor(0.6320, grad_fn=<NllLossBackward>)","tensor([[0.0108, 0.1372]], grad_fn=<AddmmBackward>)","tensor(0.7044, grad_fn=<NllLossBackward>)","tensor([[0.0665, 0.0442]], grad_fn=<AddmmBackward>)"
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,"tensor(0.6051, grad_fn=<NllLossBackward>)","tensor([[-0.0080,  0.1765]], grad_fn=<AddmmBackward>)","tensor(0.7213, grad_fn=<NllLossBackward>)","tensor([[0.0872, 0.0317]], grad_fn=<AddmmBackward>)"
"Best Buffet in town, for the price you cannot beat it.",1,"tensor(0.6512, grad_fn=<NllLossBackward>)","tensor([[0.0409, 0.1265]], grad_fn=<AddmmBackward>)","tensor(0.7203, grad_fn=<NllLossBackward>)","tensor([[0.0787, 0.0252]], grad_fn=<AddmmBackward>)"
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,"tensor(0.6868, grad_fn=<NllLossBackward>)","tensor([[0.1146, 0.1273]], grad_fn=<AddmmBackward>)","tensor(0.7267, grad_fn=<NllLossBackward>)","tensor([[0.0842, 0.0181]], grad_fn=<AddmmBackward>)"
This is one of the better buffets that I have been to.,1,"tensor(0.7042, grad_fn=<NllLossBackward>)","tensor([[0.0742, 0.0522]], grad_fn=<AddmmBackward>)","tensor(0.7357, grad_fn=<NllLossBackward>)","tensor([[0.0963, 0.0129]], grad_fn=<AddmmBackward>)"
So we went to Tigerlilly and had a fantastic afternoon!,1,"tensor(0.6760, grad_fn=<NllLossBackward>)","tensor([[0.0778, 0.1125]], grad_fn=<AddmmBackward>)","tensor(0.7055, grad_fn=<NllLossBackward>)","tensor([[0.0747, 0.0502]], grad_fn=<AddmmBackward>)"
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1,"tensor(0.6920, grad_fn=<NllLossBackward>)","tensor([[0.0776, 0.0799]], grad_fn=<AddmmBackward>)","tensor(0.7006, grad_fn=<NllLossBackward>)","tensor([[0.0567, 0.0418]], grad_fn=<AddmmBackward>)"
The ambience is wonderful and there is music playing.,1,"tensor(0.6895, grad_fn=<NllLossBackward>)","tensor([[0.0801, 0.0874]], grad_fn=<AddmmBackward>)","tensor(0.7303, grad_fn=<NllLossBackward>)","tensor([[0.0850, 0.0121]], grad_fn=<AddmmBackward>)"
Will go back next trip out.,1,"tensor(0.6983, grad_fn=<NllLossBackward>)","tensor([[0.0638, 0.0536]], grad_fn=<AddmmBackward>)","tensor(0.7218, grad_fn=<NllLossBackward>)","tensor([[0.0925, 0.0360]], grad_fn=<AddmmBackward>)"
Sooooo good!!,1,"tensor(0.6316, grad_fn=<NllLossBackward>)","tensor([[-0.0549,  0.0721]], grad_fn=<AddmmBackward>)","tensor(0.7023, grad_fn=<NllLossBackward>)","tensor([[0.0727, 0.0546]], grad_fn=<AddmmBackward>)"
"REAL sushi lovers, let's be honest - Yama is not that good.",0,"tensor(0.7123, grad_fn=<NllLossBackward>)","tensor([[0.0524, 0.0145]], grad_fn=<AddmmBackward>)","tensor(0.7187, grad_fn=<NllLossBackward>)","tensor([[0.0823, 0.0317]], grad_fn=<AddmmBackward>)"
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0,"tensor(0.6889, grad_fn=<NllLossBackward>)","tensor([[0.0673, 0.0757]], grad_fn=<AddmmBackward>)","tensor(0.7237, grad_fn=<NllLossBackward>)","tensor([[0.0816, 0.0215]], grad_fn=<AddmmBackward>)"
This is a really fantastic Thai restaurant which is definitely worth a visit.,1,"tensor(0.6526, grad_fn=<NllLossBackward>)","tensor([[0.0337, 0.1166]], grad_fn=<AddmmBackward>)","tensor(0.7237, grad_fn=<NllLossBackward>)","tensor([[0.0771, 0.0170]], grad_fn=<AddmmBackward>)"
"Nice, spicy and tender.",1,"tensor(0.7190, grad_fn=<NllLossBackward>)","tensor([[ 0.0441, -0.0070]], grad_fn=<AddmmBackward>)","tensor(0.7192, grad_fn=<NllLossBackward>)","tensor([[0.0779, 0.0266]], grad_fn=<AddmmBackward>)"
Good prices.,1,"tensor(0.7463, grad_fn=<NllLossBackward>)","tensor([[0.1138, 0.0102]], grad_fn=<AddmmBackward>)","tensor(0.7150, grad_fn=<NllLossBackward>)","tensor([[0.0756, 0.0322]], grad_fn=<AddmmBackward>)"
Check it out.,1,"tensor(0.6119, grad_fn=<NllLossBackward>)","tensor([[-0.0415,  0.1283]], grad_fn=<AddmmBackward>)","tensor(0.7218, grad_fn=<NllLossBackward>)","tensor([[0.0871, 0.0305]], grad_fn=<AddmmBackward>)"
It was pretty gross!,0,"tensor(0.6021, grad_fn=<NllLossBackward>)","tensor([[-0.0491,  0.1420]], grad_fn=<AddmmBackward>)","tensor(0.7058, grad_fn=<NllLossBackward>)","tensor([[0.0736, 0.0485]], grad_fn=<AddmmBackward>)"
I've had better atmosphere.,0,"tensor(0.7215, grad_fn=<NllLossBackward>)","tensor([[ 0.0507, -0.0051]], grad_fn=<AddmmBackward>)","tensor(0.7190, grad_fn=<NllLossBackward>)","tensor([[0.0799, 0.0289]], grad_fn=<AddmmBackward>)"
Kind of hard to mess up a steak but they did.,0,"tensor(0.6761, grad_fn=<NllLossBackward>)","tensor([[0.0713, 0.1057]], grad_fn=<AddmmBackward>)","tensor(0.7181, grad_fn=<NllLossBackward>)","tensor([[0.0761, 0.0268]], grad_fn=<AddmmBackward>)"
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0,"tensor(0.7428, grad_fn=<NllLossBackward>)","tensor([[ 0.0889, -0.0080]], grad_fn=<AddmmBackward>)","tensor(0.7315, grad_fn=<NllLossBackward>)","tensor([[0.0827, 0.0073]], grad_fn=<AddmmBackward>)"
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0,"tensor(0.7224, grad_fn=<NllLossBackward>)","tensor([[0.1028, 0.0451]], grad_fn=<AddmmBackward>)","tensor(0.7291, grad_fn=<NllLossBackward>)","tensor([[0.0849, 0.0143]], grad_fn=<AddmmBackward>)"
"Worst service to boot, but that is the least of their worries.",0,"tensor(0.6388, grad_fn=<NllLossBackward>)","tensor([[0.0631, 0.1749]], grad_fn=<AddmmBackward>)","tensor(0.7174, grad_fn=<NllLossBackward>)","tensor([[0.0802, 0.0322]], grad_fn=<AddmmBackward>)"
Service was fine and the waitress was friendly.,1,"tensor(0.7031, grad_fn=<NllLossBackward>)","tensor([[0.1064, 0.0865]], grad_fn=<AddmmBackward>)","tensor(0.7237, grad_fn=<NllLossBackward>)","tensor([[0.0810, 0.0208]], grad_fn=<AddmmBackward>)"
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1,"tensor(0.6447, grad_fn=<NllLossBackward>)","tensor([[0.0654, 0.1647]], grad_fn=<AddmmBackward>)","tensor(0.7282, grad_fn=<NllLossBackward>)","tensor([[0.0872, 0.0184]], grad_fn=<AddmmBackward>)"
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1,"tensor(0.7169, grad_fn=<NllLossBackward>)","tensor([[0.0947, 0.0477]], grad_fn=<AddmmBackward>)","tensor(0.7283, grad_fn=<NllLossBackward>)","tensor([[0.0847, 0.0156]], grad_fn=<AddmmBackward>)"
"Host staff were, for lack of a better word, BITCHES!",0,"tensor(0.7564, grad_fn=<NllLossBackward>)","tensor([[ 0.1023, -0.0204]], grad_fn=<AddmmBackward>)","tensor(0.6996, grad_fn=<NllLossBackward>)","tensor([[0.0630, 0.0500]], grad_fn=<AddmmBackward>)"
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,"tensor(0.7516, grad_fn=<NllLossBackward>)","tensor([[0.1662, 0.0524]], grad_fn=<AddmmBackward>)","tensor(0.7067, grad_fn=<NllLossBackward>)","tensor([[0.0723, 0.0454]], grad_fn=<AddmmBackward>)"
"Phenomenal food, service and ambiance.",1,"tensor(0.7146, grad_fn=<NllLossBackward>)","tensor([[0.0673, 0.0248]], grad_fn=<AddmmBackward>)","tensor(0.7132, grad_fn=<NllLossBackward>)","tensor([[0.0708, 0.0311]], grad_fn=<AddmmBackward>)"
I wouldn't return.,0,"tensor(0.7041, grad_fn=<NllLossBackward>)","tensor([[ 0.0197, -0.0021]], grad_fn=<AddmmBackward>)","tensor(0.7226, grad_fn=<NllLossBackward>)","tensor([[0.0825, 0.0245]], grad_fn=<AddmmBackward>)"
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1,"tensor(0.6256, grad_fn=<NllLossBackward>)","tensor([[0.0023, 0.1422]], grad_fn=<AddmmBackward>)","tensor(0.7236, grad_fn=<NllLossBackward>)","tensor([[0.0811, 0.0210]], grad_fn=<AddmmBackward>)"
This place is way too overpriced for mediocre food.,0,"tensor(0.6463, grad_fn=<NllLossBackward>)","tensor([[-0.0017,  0.0942]], grad_fn=<AddmmBackward>)","tensor(0.7331, grad_fn=<NllLossBackward>)","tensor([[0.0931, 0.0146]], grad_fn=<AddmmBackward>)"
Penne vodka excellent!,1,"tensor(0.6719, grad_fn=<NllLossBackward>)","tensor([[0.0302, 0.0732]], grad_fn=<AddmmBackward>)","tensor(0.7054, grad_fn=<NllLossBackward>)","tensor([[0.0688, 0.0445]], grad_fn=<AddmmBackward>)"
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,"tensor(0.6746, grad_fn=<NllLossBackward>)","tensor([[0.0968, 0.1344]], grad_fn=<AddmmBackward>)","tensor(0.7138, grad_fn=<NllLossBackward>)","tensor([[0.0625, 0.0217]], grad_fn=<AddmmBackward>)"
The management is rude.,0,"tensor(0.6610, grad_fn=<NllLossBackward>)","tensor([[-0.0169,  0.0484]], grad_fn=<AddmmBackward>)","tensor(0.7178, grad_fn=<NllLossBackward>)","tensor([[0.0741, 0.0254]], grad_fn=<AddmmBackward>)"
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1,"tensor(0.7212, grad_fn=<NllLossBackward>)","tensor([[0.1215, 0.0661]], grad_fn=<AddmmBackward>)","tensor(0.7186, grad_fn=<NllLossBackward>)","tensor([[0.0797, 0.0294]], grad_fn=<AddmmBackward>)"
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1,"tensor(0.6845, grad_fn=<NllLossBackward>)","tensor([[0.0631, 0.0805]], grad_fn=<AddmmBackward>)","tensor(0.7275, grad_fn=<NllLossBackward>)","tensor([[0.0846, 0.0170]], grad_fn=<AddmmBackward>)"
I had a seriously solid breakfast here.,1,"tensor(0.6975, grad_fn=<NllLossBackward>)","tensor([[0.0848, 0.0761]], grad_fn=<AddmmBackward>)","tensor(0.7301, grad_fn=<NllLossBackward>)","tensor([[0.0859, 0.0134]], grad_fn=<AddmmBackward>)"
This is one of the best bars with food in Vegas.,1,"tensor(0.6465, grad_fn=<NllLossBackward>)","tensor([[0.0223, 0.1179]], grad_fn=<AddmmBackward>)","tensor(0.7280, grad_fn=<NllLossBackward>)","tensor([[0.0878, 0.0192]], grad_fn=<AddmmBackward>)"
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,"tensor(0.7030, grad_fn=<NllLossBackward>)","tensor([[0.0589, 0.0393]], grad_fn=<AddmmBackward>)","tensor(0.7239, grad_fn=<NllLossBackward>)","tensor([[0.0752, 0.0145]], grad_fn=<AddmmBackward>)"
My drink was never empty and he made some really great menu suggestions.,1,"tensor(0.6941, grad_fn=<NllLossBackward>)","tensor([[0.0283, 0.0264]], grad_fn=<AddmmBackward>)","tensor(0.7281, grad_fn=<NllLossBackward>)","tensor([[0.0850, 0.0163]], grad_fn=<AddmmBackward>)"
Don't do it!!!!,0,"tensor(0.7148, grad_fn=<NllLossBackward>)","tensor([[ 0.0373, -0.0056]], grad_fn=<AddmmBackward>)","tensor(0.7057, grad_fn=<NllLossBackward>)","tensor([[0.0677, 0.0426]], grad_fn=<AddmmBackward>)"
The waiter wasn't helpful or friendly and rarely checked on us.,0,"tensor(0.6761, grad_fn=<NllLossBackward>)","tensor([[0.0416, 0.0759]], grad_fn=<AddmmBackward>)","tensor(0.7244, grad_fn=<NllLossBackward>)","tensor([[0.0789, 0.0174]], grad_fn=<AddmmBackward>)"
My husband and I ate lunch here and were very disappointed with the food and service.,0,"tensor(0.5944, grad_fn=<NllLossBackward>)","tensor([[-0.0175,  0.1908]], grad_fn=<AddmmBackward>)","tensor(0.7307, grad_fn=<NllLossBackward>)","tensor([[0.0940, 0.0203]], grad_fn=<AddmmBackward>)"
And the red curry had so much bamboo shoots and wasn't very tasty to me.,0,"tensor(0.6759, grad_fn=<NllLossBackward>)","tensor([[0.0470, 0.0817]], grad_fn=<AddmmBackward>)","tensor(0.7185, grad_fn=<NllLossBackward>)","tensor([[0.0721, 0.0220]], grad_fn=<AddmmBackward>)"
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1,"tensor(0.6886, grad_fn=<NllLossBackward>)","tensor([[0.0733, 0.0823]], grad_fn=<AddmmBackward>)","tensor(0.7208, grad_fn=<NllLossBackward>)","tensor([[0.0797, 0.0252]], grad_fn=<AddmmBackward>)"
The bathrooms are clean and the place itself is well decorated.,1,"tensor(0.7317, grad_fn=<NllLossBackward>)","tensor([[0.1330, 0.0573]], grad_fn=<AddmmBackward>)","tensor(0.7343, grad_fn=<NllLossBackward>)","tensor([[0.0908, 0.0101]], grad_fn=<AddmmBackward>)"
"The menu is always changing, food quality is going down & service is extremely slow.",0,"tensor(0.7617, grad_fn=<NllLossBackward>)","tensor([[0.1725, 0.0398]], grad_fn=<AddmmBackward>)","tensor(0.7132, grad_fn=<NllLossBackward>)","tensor([[0.0782, 0.0386]], grad_fn=<AddmmBackward>)"
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,"tensor(0.6725, grad_fn=<NllLossBackward>)","tensor([[0.0702, 0.1119]], grad_fn=<AddmmBackward>)","tensor(0.7188, grad_fn=<NllLossBackward>)","tensor([[0.0731, 0.0223]], grad_fn=<AddmmBackward>)"
I give it 2 thumbs down,0,"tensor(0.5504, grad_fn=<NllLossBackward>)","tensor([[-0.1476,  0.1616]], grad_fn=<AddmmBackward>)","tensor(0.7101, grad_fn=<NllLossBackward>)","tensor([[0.0717, 0.0381]], grad_fn=<AddmmBackward>)"
We watched our waiter pay a lot more attention to other tables and ignore us.,0,"tensor(0.6489, grad_fn=<NllLossBackward>)","tensor([[0.0375, 0.1281]], grad_fn=<AddmmBackward>)","tensor(0.7217, grad_fn=<NllLossBackward>)","tensor([[0.0827, 0.0264]], grad_fn=<AddmmBackward>)"
My fiancé and I came in the middle of the day and we were greeted and seated right away.,1,"tensor(0.6626, grad_fn=<NllLossBackward>)","tensor([[0.0471, 0.1091]], grad_fn=<AddmmBackward>)","tensor(0.7258, grad_fn=<NllLossBackward>)","tensor([[0.0876, 0.0233]], grad_fn=<AddmmBackward>)"
This is a great restaurant at the Mandalay Bay.,1,"tensor(0.6675, grad_fn=<NllLossBackward>)","tensor([[0.0395, 0.0915]], grad_fn=<AddmmBackward>)","tensor(0.7314, grad_fn=<NllLossBackward>)","tensor([[0.0900, 0.0149]], grad_fn=<AddmmBackward>)"
We waited for forty five minutes in vain.,0,"tensor(0.6495, grad_fn=<NllLossBackward>)","tensor([[-0.0106,  0.0787]], grad_fn=<AddmmBackward>)","tensor(0.7242, grad_fn=<NllLossBackward>)","tensor([[0.0853, 0.0241]], grad_fn=<AddmmBackward>)"
Crostini that came with the salad was stale.,0,"tensor(0.6619, grad_fn=<NllLossBackward>)","tensor([[0.0629, 0.1264]], grad_fn=<AddmmBackward>)","tensor(0.7261, grad_fn=<NllLossBackward>)","tensor([[0.0906, 0.0258]], grad_fn=<AddmmBackward>)"
Some highlights : Great quality nigiri here!,1,"tensor(0.6532, grad_fn=<NllLossBackward>)","tensor([[0.0460, 0.1275]], grad_fn=<AddmmBackward>)","tensor(0.7038, grad_fn=<NllLossBackward>)","tensor([[0.0636, 0.0424]], grad_fn=<AddmmBackward>)"
the staff is friendly and the joint is always clean.,1,"tensor(0.7501, grad_fn=<NllLossBackward>)","tensor([[0.1567, 0.0457]], grad_fn=<AddmmBackward>)","tensor(0.7276, grad_fn=<NllLossBackward>)","tensor([[0.0840, 0.0162]], grad_fn=<AddmmBackward>)"
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1,"tensor(0.6501, grad_fn=<NllLossBackward>)","tensor([[0.0486, 0.1365]], grad_fn=<AddmmBackward>)","tensor(0.7274, grad_fn=<NllLossBackward>)","tensor([[0.0820, 0.0147]], grad_fn=<AddmmBackward>)"
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1,"tensor(0.7108, grad_fn=<NllLossBackward>)","tensor([[0.1070, 0.0720]], grad_fn=<AddmmBackward>)","tensor(0.7298, grad_fn=<NllLossBackward>)","tensor([[0.0783, 0.0063]], grad_fn=<AddmmBackward>)"
this place is good.,1,"tensor(0.6897, grad_fn=<NllLossBackward>)","tensor([[0.0488, 0.0558]], grad_fn=<AddmmBackward>)","tensor(0.7335, grad_fn=<NllLossBackward>)","tensor([[0.0963, 0.0172]], grad_fn=<AddmmBackward>)"
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0,"tensor(0.6571, grad_fn=<NllLossBackward>)","tensor([[0.0032, 0.0767]], grad_fn=<AddmmBackward>)","tensor(0.7328, grad_fn=<NllLossBackward>)","tensor([[0.1033, 0.0255]], grad_fn=<AddmmBackward>)"
I came back today since they relocated and still not impressed.,0,"tensor(0.7180, grad_fn=<NllLossBackward>)","tensor([[0.0671, 0.0179]], grad_fn=<AddmmBackward>)","tensor(0.7302, grad_fn=<NllLossBackward>)","tensor([[0.0915, 0.0187]], grad_fn=<AddmmBackward>)"
I was seated immediately.,1,"tensor(0.7167, grad_fn=<NllLossBackward>)","tensor([[ 0.0165, -0.0301]], grad_fn=<AddmmBackward>)","tensor(0.7219, grad_fn=<NllLossBackward>)","tensor([[0.0811, 0.0244]], grad_fn=<AddmmBackward>)"
"Their menu is diverse, and reasonably priced.",1,"tensor(0.6976, grad_fn=<NllLossBackward>)","tensor([[0.0944, 0.0855]], grad_fn=<AddmmBackward>)","tensor(0.7265, grad_fn=<NllLossBackward>)","tensor([[0.0848, 0.0192]], grad_fn=<AddmmBackward>)"
Avoid at all cost!,0,"tensor(0.6198, grad_fn=<NllLossBackward>)","tensor([[-0.0501,  0.1025]], grad_fn=<AddmmBackward>)","tensor(0.7055, grad_fn=<NllLossBackward>)","tensor([[0.0683, 0.0437]], grad_fn=<AddmmBackward>)"
Restaurant is always full but never a wait.,1,"tensor(0.7346, grad_fn=<NllLossBackward>)","tensor([[0.1129, 0.0317]], grad_fn=<AddmmBackward>)","tensor(0.7163, grad_fn=<NllLossBackward>)","tensor([[0.0797, 0.0338]], grad_fn=<AddmmBackward>)"
DELICIOUS!!,1,"tensor(0.6731, grad_fn=<NllLossBackward>)","tensor([[-0.0016,  0.0389]], grad_fn=<AddmmBackward>)","tensor(0.7020, grad_fn=<NllLossBackward>)","tensor([[0.0688, 0.0512]], grad_fn=<AddmmBackward>)"
This place is hands-down one of the best places to eat in the Phoenix metro area.,1,"tensor(0.6331, grad_fn=<NllLossBackward>)","tensor([[0.0354, 0.1592]], grad_fn=<AddmmBackward>)","tensor(0.7213, grad_fn=<NllLossBackward>)","tensor([[0.0775, 0.0220]], grad_fn=<AddmmBackward>)"
So don't go there if you are looking for good food...,0,"tensor(0.6720, grad_fn=<NllLossBackward>)","tensor([[0.1159, 0.1586]], grad_fn=<AddmmBackward>)","tensor(0.6998, grad_fn=<NllLossBackward>)","tensor([[0.0586, 0.0454]], grad_fn=<AddmmBackward>)"
I've never been treated so bad.,0,"tensor(0.6983, grad_fn=<NllLossBackward>)","tensor([[0.0165, 0.0062]], grad_fn=<AddmmBackward>)","tensor(0.7263, grad_fn=<NllLossBackward>)","tensor([[0.0822, 0.0169]], grad_fn=<AddmmBackward>)"
Bacon is hella salty.,1,"tensor(0.7335, grad_fn=<NllLossBackward>)","tensor([[ 0.0782, -0.0010]], grad_fn=<AddmmBackward>)","tensor(0.7281, grad_fn=<NllLossBackward>)","tensor([[0.0894, 0.0206]], grad_fn=<AddmmBackward>)"
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",0,"tensor(0.6553, grad_fn=<NllLossBackward>)","tensor([[0.0206, 0.0977]], grad_fn=<AddmmBackward>)","tensor(0.7158, grad_fn=<NllLossBackward>)","tensor([[0.0711, 0.0263]], grad_fn=<AddmmBackward>)"
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1,"tensor(0.6696, grad_fn=<NllLossBackward>)","tensor([[0.0531, 0.1007]], grad_fn=<AddmmBackward>)","tensor(0.7155, grad_fn=<NllLossBackward>)","tensor([[0.0809, 0.0367]], grad_fn=<AddmmBackward>)"
The waitresses are very friendly.,1,"tensor(0.6863, grad_fn=<NllLossBackward>)","tensor([[0.0982, 0.1119]], grad_fn=<AddmmBackward>)","tensor(0.7268, grad_fn=<NllLossBackward>)","tensor([[0.0834, 0.0172]], grad_fn=<AddmmBackward>)"
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1,"tensor(0.6739, grad_fn=<NllLossBackward>)","tensor([[0.0559, 0.0947]], grad_fn=<AddmmBackward>)","tensor(0.7065, grad_fn=<NllLossBackward>)","tensor([[0.0673, 0.0408]], grad_fn=<AddmmBackward>)"
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1,"tensor(0.6838, grad_fn=<NllLossBackward>)","tensor([[0.1021, 0.1209]], grad_fn=<AddmmBackward>)","tensor(0.7228, grad_fn=<NllLossBackward>)","tensor([[0.0755, 0.0171]], grad_fn=<AddmmBackward>)"
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,"tensor(0.6894, grad_fn=<NllLossBackward>)","tensor([[0.0655, 0.0730]], grad_fn=<AddmmBackward>)","tensor(0.7226, grad_fn=<NllLossBackward>)","tensor([[0.0821, 0.0240]], grad_fn=<AddmmBackward>)"
The service here leaves a lot to be desired.,0,"tensor(0.6488, grad_fn=<NllLossBackward>)","tensor([[0.0486, 0.1393]], grad_fn=<AddmmBackward>)","tensor(0.7203, grad_fn=<NllLossBackward>)","tensor([[0.0795, 0.0260]], grad_fn=<AddmmBackward>)"
"The atmosphere is modern and hip, while maintaining a touch of coziness.",1,"tensor(0.7695, grad_fn=<NllLossBackward>)","tensor([[ 0.0997, -0.0475]], grad_fn=<AddmmBackward>)","tensor(0.7248, grad_fn=<NllLossBackward>)","tensor([[0.0834, 0.0210]], grad_fn=<AddmmBackward>)"
"Not a weekly haunt, but definitely a place to come back to every once in a while.",1,"tensor(0.6479, grad_fn=<NllLossBackward>)","tensor([[0.0601, 0.1528]], grad_fn=<AddmmBackward>)","tensor(0.7291, grad_fn=<NllLossBackward>)","tensor([[0.0928, 0.0220]], grad_fn=<AddmmBackward>)"
We literally sat there for 20 minutes with no one asking to take our order.,0,"tensor(0.6250, grad_fn=<NllLossBackward>)","tensor([[-0.0040,  0.1372]], grad_fn=<AddmmBackward>)","tensor(0.7208, grad_fn=<NllLossBackward>)","tensor([[0.0828, 0.0282]], grad_fn=<AddmmBackward>)"
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0,"tensor(0.7381, grad_fn=<NllLossBackward>)","tensor([[0.1210, 0.0330]], grad_fn=<AddmmBackward>)","tensor(0.7181, grad_fn=<NllLossBackward>)","tensor([[0.0651, 0.0157]], grad_fn=<AddmmBackward>)"
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0,"tensor(0.6525, grad_fn=<NllLossBackward>)","tensor([[0.0593, 0.1423]], grad_fn=<AddmmBackward>)","tensor(0.7184, grad_fn=<NllLossBackward>)","tensor([[0.0808, 0.0309]], grad_fn=<AddmmBackward>)"
I dressed up to be treated so rudely!,0,"tensor(0.6070, grad_fn=<NllLossBackward>)","tensor([[-0.0818,  0.0986]], grad_fn=<AddmmBackward>)","tensor(0.7087, grad_fn=<NllLossBackward>)","tensor([[0.0691, 0.0382]], grad_fn=<AddmmBackward>)"
It was probably dirt.,0,"tensor(0.6078, grad_fn=<NllLossBackward>)","tensor([[0.0209, 0.1994]], grad_fn=<AddmmBackward>)","tensor(0.7217, grad_fn=<NllLossBackward>)","tensor([[0.0884, 0.0321]], grad_fn=<AddmmBackward>)"
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1,"tensor(0.7173, grad_fn=<NllLossBackward>)","tensor([[0.0775, 0.0299]], grad_fn=<AddmmBackward>)","tensor(0.7279, grad_fn=<NllLossBackward>)","tensor([[0.0860, 0.0177]], grad_fn=<AddmmBackward>)"
I ordered the Lemon raspberry ice cocktail which was also incredible.,1,"tensor(0.6459, grad_fn=<NllLossBackward>)","tensor([[0.0135, 0.1102]], grad_fn=<AddmmBackward>)","tensor(0.7293, grad_fn=<NllLossBackward>)","tensor([[0.0830, 0.0120]], grad_fn=<AddmmBackward>)"
"The food sucked, which we expected but it sucked more than we could have imagined.",0,"tensor(0.7214, grad_fn=<NllLossBackward>)","tensor([[0.0675, 0.0118]], grad_fn=<AddmmBackward>)","tensor(0.7203, grad_fn=<NllLossBackward>)","tensor([[0.0763, 0.0228]], grad_fn=<AddmmBackward>)"
Interesting decor.,1,"tensor(0.7293, grad_fn=<NllLossBackward>)","tensor([[ 0.0664, -0.0046]], grad_fn=<AddmmBackward>)","tensor(0.7232, grad_fn=<NllLossBackward>)","tensor([[0.0912, 0.0321]], grad_fn=<AddmmBackward>)"
What I really like there is the crepe station.,1,"tensor(0.6502, grad_fn=<NllLossBackward>)","tensor([[0.0249, 0.1127]], grad_fn=<AddmmBackward>)","tensor(0.7285, grad_fn=<NllLossBackward>)","tensor([[0.0844, 0.0148]], grad_fn=<AddmmBackward>)"
